Name,total_yield,chip_color,tuber_eye_depth,tuber_shape,tuber_size,tuber_length,tuber_width,sucrose,log10_glucose,log10_fructose,malic_acid,vine_maturity_95d,vine_maturity_120d,Grp1,Grp2,Grp3,Grp4
F58050,9.67,1.4,4.13,2.73,5.42,78.63,66.49,6.91,-0.824,-0.665,2.17,2.92,1.46,0,0,1,0
F66041,9.32,1.45,2.86,4.61,6.25,104.63,57.19,6.52,-0.921,-0.892,2.52,4.42,4.46,0.001,0,0.999,0
F87084,15.21,2.5,3.7,2.81,5.88,86.87,75.46,4.59,-0.008,0.211,4.48,6,5.5,1,0,0,0
FreedomRusset,13.9,2.48,3.03,5,6,121.86,64,5.09,0.096,0.4,4.16,5.5,5,0,1,0,0
GarnetChile,6.62,3.5,6.5,4.16,3.61,83.98,57.74,10.35,0.231,0.405,5.07,6.5,5,1,0,0,0
GemStarRusset,9.8,2.11,3.03,4.73,6.25,124.53,64.03,6.25,-0.204,-0.07,0.9,4,4,0,1,0,0
GrandFalls,11.77,2.29,3.7,4,4.38,94.49,65.02,7.2,-0.491,0.005,3.47,3,2.5,0.998,0,0.002,0
GreenMountain,11.91,3.26,5.7,4.32,6.5,108.96,69.27,10.54,0.314,0.488,2.88,5.75,3.75,1,0,0,0
HighlandRusset,13.39,2.96,3.57,4.59,5.38,116.72,62.69,6.75,-0.329,0.097,4.25,5,4.5,0,1,0,0
Hindenburg,8.75,2.21,5.97,3.86,3.75,86.03,60.41,6.76,-0.168,0.135,5.29,5.5,4.5,1,0,0,0
IdaRose,13.41,4.02,3.83,2.95,6,84.21,71.58,9.92,0.667,0.889,4.76,5.5,5,1,0,0,0
IncaGold,6.36,2.74,5.7,2.13,2.38,60.11,62.7,12.39,0.212,0.446,6.3,8,5.75,0,0,0,1
IrishCobbler,9.04,3.13,5.59,2.6,4.44,80.7,70.35,8.68,0.52,0.607,5.04,2,1,1,0,0,0
IvoryCrisp,13.47,1.13,3.97,2.27,6.5,81.35,78.2,3.99,-0.823,-0.191,2.8,6,5.5,0.016,0,0.984,0
JacquelineLee,13.96,2.63,3.03,4.13,3.13,89.09,61.25,9.78,-0.072,0.369,3.65,5,3.75,1,0,0,0
Kalkaska,13.69,1.63,4.5,1.81,5,65.89,68.74,5.88,-0.532,-0.156,4.22,5.5,4,0.522,0,0.478,0
Katahdin,14.12,3.3,4.44,3.46,7.25,96.11,80.92,6.35,0.687,0.868,3.66,4,4,0,0,1,0
Kennebec,14.46,2.22,4.5,4,6.88,108.71,73.05,4.24,-0.164,0.017,2.11,5.25,2.5,0.021,0,0.979,0
KeukaGold,11.54,2.24,3.97,2.54,6.38,85.65,73.92,4.73,-0.147,0.277,3.53,4.25,3.25,0,0,1,0
KingHarry(NY131),14.81,2.15,5.17,2.13,5.63,76.75,77.27,5.92,-0.02,0.302,3.34,3.5,2.5,0.02,0,0.98,0
KlamathRusset,10.42,2.76,4.1,4.73,6.63,121.06,68.21,8.33,-0.31,0.074,1.44,6,4.5,0,1,0,0
LaChipper,7.72,2.71,4.86,2.54,5.77,80.59,74.92,6.39,0.135,0.467,2.82,3.25,1,0.02,0,0.98,0
Lamoka(NY139),10.97,1.2,3.97,2.81,5.25,89.43,74.97,6.05,-0.947,-0.724,1.19,4.5,4,0,0,1,0
Langlade,16.38,2.48,3.3,2.81,6.75,86.24,76.72,5.46,-0.31,0.149,2.02,4,4,0,0,1,0
Lehigh,10.38,2.41,3.7,2.68,6.5,92.18,74.48,5.21,-0.064,0.391,3.45,2.5,1,0,0,1,0
Lelah(W2717-5),11.38,1.07,3.03,2.68,4.75,78.32,69.25,5.12,-0.661,-0.728,1.48,4,1.75,0,0,1,0
Liberator,11.6,1.7,4.23,2.81,5.25,83.71,71.03,7.04,-0.427,-0.084,2.06,4.5,4,0,0,1,0
MaineChip,6.3,1.26,3.7,2.13,4.63,74.61,71.51,7.75,-0.721,-0.44,1.6,3.5,2.5,0,0,1,0
Marcy,10.86,1.57,3.43,3.18,6.13,87.5,73.73,3.55,-0.754,-0.306,3.17,5.25,4,0,0,1,0
MegaChip(W1201),14.21,1.83,5.7,2.54,6.75,84.7,76.4,4.82,-0.748,-0.466,2.46,4,3.25,0,0,1,0
MichiganPurple,13.61,3.26,4.77,3.36,6.38,90.06,72.79,7.08,0.56,0.868,4.82,4.5,2.5,1,0,0,0
Missaukee(MSJ461-1),14.46,1.61,4.37,1.81,5.13,75.03,76.86,5.47,-0.581,-0.332,3.08,5.5,5,0.999,0,0.001,0
MN02419,13.64,1.84,3.43,2,2.75,68.53,69.37,9.66,-0.426,-0.041,4.96,5.5,3.25,0,0,1,0
MN02467,11.92,2.82,3.03,5,5,122.98,56.47,4.38,0.161,0.369,4.46,6.25,5,0,1,0,0
MN02586,13.38,1.76,3.97,1.54,2.88,62.16,68.88,9.07,-0.761,-0.383,3.89,4.5,1.75,0.604,0,0.396,0
MN15620,12.28,2.39,3.3,4.46,4.25,95.64,59.61,9.65,-0.186,0.254,2.63,5,4,1,0,0,0
MN18747,10.69,2.58,3.7,4.18,5.63,106.02,68.99,6.13,0.458,0.58,3.5,3,1,0.001,0,0.999,0
MN19298,8.16,3.15,4.15,2,4.63,69.87,67.68,8.87,0.567,0.758,4.85,1.75,1,0.996,0,0.004,0
MN19350,9.53,2.52,3.03,3.73,5,94.87,68.43,7.2,0.192,0.432,4.99,1,1,0.002,0,0.998,0
MN19470,15.01,2.2,4.5,2.41,7.25,86.81,78.09,6.81,-0.075,0.214,1.79,5.5,3.25,1,0,0,0
MN96072-4,9.62,2.3,3.3,2.91,5.9,82.25,69.45,10.43,-0.092,0.097,5.61,4.5,3.25,1,0,0,0
MN99380-1,12.47,1.65,4.5,2.41,6.38,85.14,77.64,8.02,-0.464,-0.085,3.96,3.25,2.5,0.914,0,0.086,0
Modoc,11.61,3.33,3.7,2.54,3,75.73,61.96,5.85,0.289,0.607,3.01,2.5,1.75,1,0,0,0
Monona,11.56,2.07,5.03,3.22,6.25,93.83,75.54,6.7,-0.54,0.109,3.33,4,1.75,0,0,1,0
Monticello,12.36,1.44,4.5,2.46,5.25,77.58,74,5.01,-0.662,-0.344,2.41,2.88,2.5,0.002,0,0.998,0
MountainRose,9.99,2.74,3.03,3.59,3.88,86.39,66.34,6.96,0.258,0.672,3.72,3.25,1,0.992,0,0.008,0
MSG227-2,9.88,1.26,3.43,3.46,5,86.5,71.64,3.88,-0.959,-0.625,2.91,3.75,2.5,0.001,0,0.999,0
MSH228-6,13.86,1.24,3.97,2.68,6.5,83.25,78.73,7.26,-0.677,-0.385,3.67,6.25,4.5,0.001,0,0.999,0
MSI005-20Y,16.44,2.89,4.23,2.41,6.75,83.5,78.56,8.46,0.14,0.414,4.92,5.5,4.25,0.999,0,0.001,0
MSJ126-9Y,9.89,1.22,4.84,2.17,6.59,80.93,75.09,4.24,-0.921,-0.866,2.9,4.42,1.46,0.659,0,0.341,0
